Timestamp,1.) In which industry does the company operate?,2.) What type of software does the company construct?,3.) Which SDLC methodology does the company follow for software projects? (you can select more than one option),"4.) If more than one methodology was chosen in question 3, how do you/the company decide which methodology to choose for a given project? Leave blank if not more than one methodology was chosen",5.) If the Hybrid SDLC methodology was chosen in question 3 – What variation of SDLC methodologies do you use to implement software? Leave blank if hybrid was not chosen,Please state the methodology you're rating,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing ,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],Please rate the following characteristics with low/high values (please choose only one value per row) [task visualisation],Please state the methodology you're rating,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing Intensity,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],,"6. Which of the criteria mentioned in sections 2 and 3, you believe that are the most important in choosing a SDLC methodology over another?","7.) Do you think that there are additional requirements (aside from those mentioned in the previous question) that influence your decision to choose a SDLC method for a project? If yes, please mention the rating/value alongside the characteristic for the SDLC methodology you selected in previous questions (e.g., Documentation: high).",
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/12/06 2:55:08 pm CET,Gaming,Casino slot games,Kanban,,,Kanban,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,Low,High,High,Medium,High,Medium,High,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Project Size;Product Complexity,no,
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),Low,High,High,High,Low,High,Medium,Low,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,Medium,High,High,High,Medium,Low,Waterfall,Fixed,understandable/early defined,Non-Intensive,Medium,,Complex,After each cycle (Intensive testing),High,High,Medium;High,Medium,Medium,Medium,Low,Low,Risk Analysis,No,
2021/11/30 9:28:03 am CET,Information Technology,b. Information systems,Hybrid,Depends on the type of project and application being developed.,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Changing,understandable/early defined,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,Medium,High,High,Medium,High,Medium,Low,,,,,,,,,,,,,,,,,Requirements Volatility,No,
2021/11/30 11:07:55 am CET,Information Technology,b. Information systems,Scrum;Agile,Based on size and requirements of the project,Scrum and agile,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Medium,Medium,Low,Medium,Low,Low,Kanban,Changing,understandable/early defined,Non-Intensive,Large,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,High,Medium,High,High,High,High,Requirements Volatility,"Team size: high, User participation: high",
2021/11/30 2:03:21 pm CET,Finance,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Rapid Application Development (RAD),Size of the project,,RAD,Fixed,understandable/early defined,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,Medium,High,High,High,Medium,Low,Low,Scrum,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,High,Medium,High,Low,Risk Analysis,No,
2021/12/06 2:55:08 pm CET,Gaming,Casino slot games,Kanban,,,Kanban,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,Low,High,High,Medium,High,Medium,High,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Project Size;Product Complexity,no,
2021/11/30 3:47:09 pm CET,Information Technology,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Changing,unknown/defined later in the lifecycle,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,Low,Medium,High,Low,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility,No,
2021/12/06 2:55:08 pm CET,Gaming,Casino slot games,Kanban,,,Kanban,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,Low,High,High,Medium,High,Medium,High,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility;Project Size;Product Complexity,no,
